AOD_055,date,dewpoint_K,precipitation_m,solar_radiation_Jm2,surface_pressure_Pa,temp_2m_K,wind_speed_10m,PM2.5
618.17787184633,2023-01-01,281.762429876121,4.14026629656517e-06,14077156.4305587,99489.6870811286,286.08454178448,0.338507242351831,317.297046956522
618.17787184633,2023-01-02,281.32801821704,1.63166515466491e-06,13405851.4371722,99592.1924072358,286.077637410354,0.525210067091435,317.297046956522
941.310035867913,2023-01-03,280.532783399848,3.19589126556541e-06,13552396.5117446,99668.1911648375,284.452749430223,1.87137637647386,351.77619125
1089.61250209062,2023-01-04,280.322879605237,1.72086163274798e-06,14678127.5557583,99685.7600031401,283.745660958314,2.0588076581016,341.401735833333
1166.44030871837,2023-01-05,279.687470803139,8.0502869080196e-06,11443994.3562144,99787.0254240679,282.172934672154,1.62905451277029,331.132735416667
936.206328239549,2023-01-06,278.430553870236,2.67915332869702e-05,10904401.4476625,99816.9201757218,280.501363632336,1.26950419239929,367.235546666667
730.448117491199,2023-01-07,279.116297499375,7.57175819292268e-06,12655381.0709236,99557.7078662833,282.060130092428,2.10366195018628,371.074445416667
675.684199962558,2023-01-08,280.75824766025,4.47021242965994e-07,14630907.5475485,99359.4382382679,284.033276516673,2.02356712547705,354.453612916667
608.834833912462,2023-01-09,281.343146791389,1.88398115738957e-05,12494646.3662486,99453.3782352762,284.854499921578,1.29012938703853,407.728998333333
595.638415999771,2023-01-10,281.461763389498,5.12297401850262e-07,14617128.2426454,99266.4552228463,285.432380090508,2.38825436369979,436.213078333333
577.459188065011,2023-01-11,282.966104089294,0.0010699496675652,11374974.8369441,98862.7541767255,286.178653992523,1.38547324046312,323.861407916667
779.062900774519,2023-01-12,284.376836554898,0.0003268671382384,10623715.2684151,98658.1217706626,288.274587134923,3.00712820138511,330.8101475
965.483658896111,2023-01-13,285.492471993192,0.0050183579206397,10114230.7949829,98884.9814781615,287.736766484462,0.531266711701308,335.530810416667
944.972039936393,2023-01-14,279.680903099028,1.87271405245043e-06,14892114.1810718,99123.9590088726,284.877453508888,3.24005656430315,328.660102083333
584.316090096476,2023-01-15,275.388893181233,1.30498091266418e-06,15581855.204561,98992.1681763113,283.048546418089,2.94731869823593,196.70469375
